combo_label,M,organo_id,n_seeds_con_datos,edep_medio_J,s_between_J,se_within_medio_J,ratio_se_within_sobre_s_between,ic95_s_between_low,ic95_s_between_high
GCR_He_min_6,2500,74,3,5.10706e-09,4.239766728252867e-10,7.354381282e-11,0.17346193206791383,4.053758552262497e-09,6.160361447737503e-09
GCR_He_min_6,2500,75,3,1.807326666666667e-09,1.7642050740583803e-10,4.0120517363333333e-11,0.22741413656089327,1.3690384593866198e-09,2.245614873946714e-09
GCR_He_min_6,2500,76,3,4.4342000000000006e-10,6.868716334949348e-11,1.8863675086666668e-11,0.27463173854894346,2.7277785566953293e-10,6.140621443304672e-10
GCR_He_min_6,2500,77,3,2.5196600000000003e-10,1.0048011436597789e-10,1.552157898e-11,0.15447413727522125,2.339412703940432e-12,5.015925872960596e-10
GCR_He_min_6,2500,78,3,2.4086466666666666e-10,4.224339841127052e-11,2.09164686e-11,0.49514171176198496,1.3591777794413789e-10,3.458115553891954e-10
GCR_He_min_6,2500,79,3,3.0698966666666667e-10,2.7699774373329e-11,1.7255381286666666e-11,0.6229430266869314,2.3817405882908025e-10,3.758052745042531e-10
GCR_He_min_6,2500,80,3,1.9839266666666665e-10,4.712215224640459e-11,1.1148506976666667e-11,0.2365873892680124,8.132530338251215e-11,3.1546002995082116e-10
GCR_He_min_6,2500,81,3,1.499018e-10,5.942825996039258e-11,1.2470819450000001e-11,0.20984661940819882,2.26190312624722e-12,2.975416968737528e-10
GCR_He_min_6,2500,82,3,3.7677066666666667e-10,3.841644045631158e-11,1.9776884146666664e-11,0.5148026186642038,2.813312358132879e-10,4.722100975200454e-10
GCR_He_min_6,2500,83,3,1.0379676666666667e-10,2.0353741613357808e-11,5.3248282700000004e-12,0.2616142216576734,5.323118869426886e-11,1.5436234463906447e-10
GCR_He_min_6,2500,84,3,7.288016666666668e-10,3.0339077183285135e-11,3.309241441333333e-11,1.090752174610146,6.534291380149722e-10,8.041741953183613e-10
GCR_He_min_6,2500,85,3,1.2394633333333333e-09,5.2228710814391465e-11,4.1115548440000003e-11,0.7872212007321984,1.10970955148569e-09,1.3692171151809766e-09
GCR_He_min_6,2500,86,3,1.1043866666666667e-09,6.144223004850435e-11,4.5978456569999995e-11,0.7483201136043274,9.517433869525982e-10,1.257029946380735e-09
GCR_He_min_6,2500,87,3,5.859776666666667e-10,9.742859997112415e-11,2.6617449926666664e-11,0.2731995526421968,3.4393207317498977e-10,8.280232601583436e-10
GCR_He_min_6,2500,88,3,8.567396666666666e-10,1.1519741195154225e-10,3.179124814e-11,0.27597189556109974,5.705503346555303e-10,1.142928998677803e-09
GCR_He_min_6,2500,89,3,3.5864966666666663e-10,6.075820474909816e-11,1.5799251609999997e-11,0.260034865665357,2.0770573713937255e-10,5.095935961939606e-10
GCR_He_min_6,2500,90,3,1.1577293333333334e-10,1.5391619051072353e-11,8.655421126666667e-12,0.5623463716160279,7.753494603680271e-11,1.5401092062986395e-10
GCR_He_min_6,2500,91,3,2.5346e-11,3.016438706488166e-12,2.4755152800000003e-12,0.8206748158599496,1.7852146068407164e-11,3.2839853931592835e-11
